producto,precio
Fiambreras para merchandising con cubiertos 700ml TakeAway Small,2.28
Fiambrera con soporte para telefono de gran capacidad 1LBon Appetit,2.63
Fiambrera reciclada y hermetica con cierres laterales EasyLunch,3.2
Fiambrera de acero con tapa y 2 cubiertos de bambu 600ml Norway,5.55
Fiambrera hermetica de acero y tapa de bambu con elastico 800ml Scandi,5.46
Fiambrera corporativa con tapa de bambu con logo 1L Mix Bamboo,3.46
Bolsa portabocadillos con cierre de velcro publicitaria Sandwich L,1.68
Bolsa portabocadillos reciclada cuadrara con cierre Sandwich RPET,1.05
Portasnacks termico de RPET con cierre de velcro Club Sandwich,1.19
Fiambrera de acero con hebillas antifugas con logotipo 750ml Strong,6.5
Resistente y duradera fiambrera promocional de acero 1L Recycled,11.94
"Fiambreras de acero personalizadas con 2 compartimentos 1,2L Double",9.64
Fiambreras personalizadas de vidrio y tapa de bambu 900ml Nordik,5.74
Fiambrera de cristal con tapa y cubiertos de bambu 700ml Eco Glass,5.13
Fiambrera de vidrio con 3 compartimentos y tapa de bambu 800ml,7.31
"Fiambrera de acero con tapa de madera y cubiertos para empresas 1,5L Bamboo",10.78
Fiambreras de vidrio borosilicato con cubiertos 750ml Crystal Clear,8.12
Fiambrera doble con separador interno y cubiertos 800ml Duo Compact,4.34
Fiambrera de PP con cierre hermetico promocional 1L gourmet Delux,4.34
Fiambrera de plastico sin BPA con cinta de seguridad 1L Simple ToGo,2.32
"Fiambrera de plastico doble con separador y cubiertos 1,36L Duo Gusto",3.69
Fiambrera de bambu pequena con separador y banda 650ml Bali Small,4.63
Fiambrera grande de bambu con separador extraible 1L Bali Large,6.13
Panera grande de plastico con tapa de bambu Bistro Bread Large,31.61
"Fiambrera doble libre de BPA con acabado veteado 1,4L Mix Duo",3.84
Fiambrera de 2 pisos plastico reciclado con separador y cubiertos 800ml,4.34
Fiambrera de acero inoxidable reciclado con dos compartimentos 980ml,14.45
Fiambrera compostable sin BPA con cubiertos 1L Minimal,5.12
Fiambreras personalizadas antibacterianas 1400ml Antibacterial,3.03
"Fiambrera de dos compartimentos grande sin BPA 1,4L Duo ToGo",3.58
Fiambrera corporativa de PP reciclado con cierre facil de clic 800ml,2.0
Fiambrera de silicona con separador y soporte 850ml Division,3.36
"Fiambrera grande de plastico con sellado 1,5L MEPAL Take a Break Large",8.85
Tarro de acero con tapa de rosca con logotipo 800ml Inox Lunch,11.3
Fiambrera con compartimentos 700ml MEPAL Ellipse Breakfast,11.02
Fiambrera termica personalizada 700ml MEPAL Ellipse Breakfast,25.26
"Fiambrera cuadrada de plastico con cierre de silicona 2,4 L Breaky",3.77
Fiambreras de PP blanca cuadrada grande para empresas 1L FoodPrep,1.18
Fiambrera de dos compartimentos cuadrada con cubiertos 600ml Section,2.85
Fiambreras corporativas en acero con hebillas antifugas 750ml Robust,8.45
Fiambrera de acero inoxidable reciclado con cierre lateral 750ml,5.69
"Fiambrera con logo grande de acero con separador 1,2L Inox Space",9.87
Fiambrera de cristal de borosilicato con tapa de corcho 830ml,5.52
Fiambreras hermeticas de vidrio publicitarias 1L Vidrio Nordik Plus,5.77
Fiambrera de vidrio transparente con tapa hermetica 900ml Crystal,4.24
"Fiambrera de plastico promocional con separador y cubiertos 1,2L Carry",6.64
Fiambrera de PP reciclado certificado con tenedor Complete Bamboo Eco,8.83
Fiambreras de vidrio personalizadas hermeticas 600ml Crystal,3.75
Fiambreras con logo con junta de sellado 900ml MEPAL Take a Break Midi,7.56
Fiambrera personalizada hermetica de silicona 640ml Functional,3.18
"Fiambrera, cubiertos y compartimentos de 250, 270 y 470ml Lunchtime",1.69
Fiambrera corporativa de acero reciclado con hebillas de cierre 750ml,10.09
Fiambreras de plastico reciclado para empresas 800ml Recyled,5.7
"Fiambrera de 93% de plastico de reciclado 1,2L Carry Recycled",7.35
Fiambrera doble piso de PP reciclado con tapa hermetica 800ml (2x),5.1
Fiambreras termicas con logo en acero con compartimentos 850ml Foodie,6.46
"Fiambrera doble de acero inoxidable reciclado con hebillas 1,05L",13.34
Fiambrera termica de acero inoxidable reciclado con asa 500ml,10.25
Fiambrera termica con dos compartimentos y tapa antifugas 430ml,9.69
Termo para comida de acero con tenedor 500ml Foodie,14.05
Fiambrera de silicona hermetica 2 compartimentos 480 y 760ml Division,6.03
Fiambrera rectangular grande con certificacion Food Grade 1L MealPrep,1.02
"Fiambrera grande con cubiertos, asa y dos pisos 1L All-in-one",3.15
Fiambrera de acero con separador y hebillas de seguridad 750ml Split,9.03
"Fiambrera de acero inoxidable reciclado con hebillas laterales 1,05L",10.56
Fiambrera de acero inoxidable con asa a juego extraible 750ml,5.52
Fiambrera con una o dos bases de RPET promocional 1400ml MIYO,8.71
"Set con botella, fiambrera, cubiertos y bolsa Lunch TakeAway",19.26
Fiambrera de acero inoxidable reciclado con cierre y tapa de madera,14.05
Termo con aislamiento al vacio y doble pared de acero Liquid To Go,9.4
Fiambrera termica de acero inoxidable reciclado con antigoteo 400ml,10.76
Tarro de almacenamiento de acero y bambu con tapa rosca Tarro Naturjar,5.79
Fiambrera publicitaria con asa para liquidos 710ml Tupper Liquidos,0.48
Contenedor termico de plastico de doble pared 380ml Termo Travel,3.3
Fiambrera termica con dos compartimentos y tapa antifugas 260ml,7.41
Tarro de acero con cuchara y base de corcho 400ml Tarro ToGo,6.92
Set de 2 fiambreras de acero circulares de 450 y 900ml Inox,3.71
Portasnacks termico de papel reciclado con cierre de velcro Snacks,0.53
Fiambrera con tenedor y cuchillo de PP veteado sin BPA 1L Light,2.55
Exclusiva fiambrera de una capa RPET con banda de seguridad 700ml MIYO,5.54
"Fiambrera de acero con gran capacidad y tapa de bambu 1,4L Inox Square",4.32
Panera pequena con tapa de bambu y ranura para migas Bistro Bread Small,23.46
Fiambrera de viaje de plastico reciclado con tapa antigoteo 700ml,7.35
Fiambrera hermetica de acero reciclado promocional 750ml Inox Recycled,7.89
"Fiambrera personalizable de calidad para ensaladas 1,3L MEPAL Ellipse",8.22
Fiambrera de acero inoxidable reciclado con separador 1.5L,7.52
Fiambrera de acero inoxidable reciclado con 4 cierres 850ml,5.1
Fiambrera hecha de maiz con tapa de bambu y cierre elastico 1L,5.69
Fiambrera grande de PP reciclado con tapa hermetica 2.2L,4.34
Fiambreras impresas termicas de acero inoxidable con cuchara incluida,4.28
Bolsa termica porta bocadillos de canamo con cierre de velcro 170 g/m2,1.36
Fiambrera de plastico reciclado con tapa de bambu 500ml,3.19
Fiambrera de acero inoxidable reciclado de doble pared 480ml,8.4
Fiambrera para ninos de PP reciclado con cierre de clic 700ml,2.56
Doble fiambrera de plastico reciclado y bambu con cierre elastico,2.89
Fiambrera personalizada rectangular con cierre clip hecho en EU 950ml,1.79
Fiambrera estilo Bento de doble piso con multiples compartimientos,6.03
Fiambrera cuadrada con bolsa de gel refrigerante en la tapa 750ml,1.28
Fiambrera de plastico rigida con disenos en colores vivos 1000ml,3.65
Fiambrera grande de plastico con capacidad para 8 sandwiches 1200ml,2.26
Taza porta comidas especial para yogurt o sopa de 520 y 230ml,4.45
Clasica fiambrera rectangular de cristal con tapa de bambu,5.99
Fiambrera de aluminio con tapa de bambu y cierre metalico,7.95
Fiambrera de plastico reciclado con tapa de bambu y banda elastica,4.02
