,keyword,urls_seo,name_seo,h3_seo,currency,avg__monthly_searches,cambio_en_tres_meses,cambio_interanual,competition,competition_(indexed_value),top_of_page_bid_(low_range),top_of_page_bid_(high_range)
0,tupper,,,,EUR,18100.0,50%,23%,Alta,99.0,"0,11","0,39"
1,tupper cristal,https://www.amazon.es/tupper-cristal/s?k=tupper+cristal,Amazon.es,Tupper Cristal,EUR,2900.0,83%,22%,Alta,100.0,"0,14","0,37"
2,tupper cristal,https://www.lidl.es/es/tuppers/c6257?srsltid=AfmBOoo35wg3zhkfnQ4DaYmmCW53e9OXtGv1_Uny0wjVLRxl-rZTzhei,Compra Online | Lidl,"Tuppers para comida: de cristal, al vacío y más",EUR,2900.0,83%,22%,Alta,100.0,"0,14","0,37"
3,tupper cristal,https://www.ikea.com/es/es/p/ikea-365-bote-con-tapa-rectangular-vidrio-plastico-s89269071/,IKEA,"IKEA 365+ bote con tapa, rectangular vidrio/plástico, 1.0 l",EUR,2900.0,83%,22%,Alta,100.0,"0,14","0,37"
4,tupper de cristal,https://www.amazon.es/tupper-cristal/s?k=tupper+cristal,Amazon.es,Cómo saber si el tupper es apto para el microondas - Sitio Andino,EUR,1000.0,82%,23%,Alta,100.0,"0,13","0,31"
5,tupper de cristal,https://www.ohgar.com/es/c/recipientes-y-hermeticos--tapers/CP03005001?srsltid=AfmBOorohHn6t7jC2otNHXy45Mh-ZzCmHSn6XnuqjidyQnEvjKM0Yay5,Ohgar,¿Cómo saber si un recipiente de vidrio es apto para horno?,EUR,1000.0,82%,23%,Alta,100.0,"0,13","0,31"
6,tupper de cristal,https://www.lidl.es/es/tuppers/c6257?srsltid=AfmBOorcqR5DStFdyYOBXZ3exDGLc_hAHqbNWCfmXN6Okxn1xKGBod8p,Compra Online | Lidl,El 'tupper' de vidrio: el recipiente más sano para los alimentos - RTVE.es,EUR,1000.0,82%,23%,Alta,100.0,"0,13","0,31"
7,tupper microondas,https://www.tupperware.es/shop/es/microondas.html,Tupperware España,Tupper Cristal Rectangular - Varios Tamaños,EUR,590.0,51%,-18%,Alta,100.0,"0,08","0,20"
8,tupper microondas,"https://www.latercera.com/paula-cocina/noticia/como-saber-que-recipiente-o-taper-es-apto-para-el-microondas-y-cual-no/PPRI5HXQE5GCLCU3IOL5NEMSTU/#:~:text=Es%20el%20polipropileno%20de%20uso,que%20es%20libre%20de%20BPA.",La Tercera,Tupper redondo de acero inoxidable y tapa cristal,EUR,590.0,51%,-18%,Alta,100.0,"0,08","0,20"
9,tupper microondas,"https://www.spg-pack.com/blog/envases-plastico-microondas/#:~:text=Si%20atendemos%20a%20los%20c%C3%B3digos,sustancias%20como%20el%20Biosfenol%2DA.",SPG-Pack,Taper de cristal Duralex® | Recipiente rectangular,EUR,590.0,51%,-18%,Alta,100.0,"0,08","0,20"
10,tupper infantil,https://www.amazon.es/tupper-infantil/s?k=tupper+infantil,Amazon.es,Tuppers y Portaalimentos | Ahorramas Supermercado online,EUR,480.0,171%,-19%,Alta,100.0,"0,08","0,36"
11,tupper infantil,https://infantdeco.es/categoria-producto/alimentacion-y-lactancia/fiambreras-infantiles/?srsltid=AfmBOooxmKJyqVI76XVeBErS2el8iSAasS2J1Iwtd-vbhw7Qss3SkptM,Infantdeco,Tapers Cristal - Almacenamiento Y Organización,EUR,480.0,171%,-19%,Alta,100.0,"0,08","0,36"
12,tupper infantil,https://www.oukidsshop.com/30-fiambreras-infantiles-vuelta-al-cole?srsltid=AfmBOoqklAJ5JAsVqCGgxrwGA8B5mhoQtVmEd59g72ah9m6T8dc3Sour,Oukidsshop,Taper de cristal Duralex® | Recipiente rectangular,EUR,480.0,171%,-19%,Alta,100.0,"0,08","0,36"
13,tupper acero inoxidable,https://www.amazon.es/fiambrera-acero-inoxidable/s?k=fiambrera+acero+inoxidable,Amazon.es,⇒ Taper de cristal ▷ Comprar con los Mejores Precios. ...,EUR,480.0,69%,108%,Alta,100.0,"0,09","0,36"
14,tupper acero inoxidable,https://cocuisineshop.com/collections/termos-comida-y-liquidos?srsltid=AfmBOorowRHCHo030Fioq-yo2iFbeTJU318_rFHR6tm0o-iug5akkbqZ,cocuisine,Táper de plástico o de cristal: ¿cuál es mejor? - El Debate,EUR,480.0,69%,108%,Alta,100.0,"0,09","0,36"
15,tupper acero inoxidable,https://www.aupaorganics.com/97-fiambreras-y-cubiertos,Aúpa Organics,El 'tupper' de vidrio: el recipiente más sano para los alimentos - RTVE.es,EUR,480.0,69%,108%,Alta,100.0,"0,09","0,36"
16,tupper para llevar comida al trabajo,https://rimoplasticas.com/blog/tips-para-llevar-almuerzo-al-trabajo/,Rimoplásticas,"Tuppers para comida: de cristal, al vacío y más",EUR,480.0,83%,22%,Media,49.0,"0,26","0,61"
17,tupper para llevar comida al trabajo,"https://elpais.com/escaparate/2023-09-07/tuppers-para-llevar-la-comida-al-trabajo.html#:~:text=Hemos%20querido%20considerar%20en%20esta,otro%20lugar%20fuera%20de%20casa.",EL PAÍS,Tapers cristal y plástico | Tuppers herméticos,EUR,480.0,83%,22%,Media,49.0,"0,26","0,61"
18,tupper para llevar comida al trabajo,"https://www.envasesdelmediterraneo.com/blog/envases-comida-para-llevar/#:~:text=Los%20envases%20para%20llevar%2C%20o,a%20domicilio%20y%20su%20transporte.",Envases del Mediterráneo,Los mejores 7 juegos de tapers de cristal que debes elegir,EUR,480.0,83%,22%,Media,49.0,"0,26","0,61"
19,tuppers acero inoxidable,https://www.amazon.es/fiambrera-acero-inoxidable/s?k=fiambrera+acero+inoxidable,Amazon.es,"Tuppers de cristal para horno, microondas y congelador",EUR,480.0,69%,108%,Alta,100.0,"0,09","0,36"
20,tuppers acero inoxidable,https://cocuisineshop.com/collections/termos-comida-y-liquidos?srsltid=AfmBOopqZYxb88CQmXAXrAyHrU2zqLLAZqwYL5bkH31gOzwa9jT4DaYt,cocuisine,"ZWILLING Táper de cristal rectangular, 1400 ml ...",EUR,480.0,69%,108%,Alta,100.0,"0,09","0,36"
21,tuppers acero inoxidable,https://www.aupaorganics.com/97-fiambreras-y-cubiertos,Aúpa Organics,Tupper Cristal,EUR,480.0,69%,108%,Alta,100.0,"0,09","0,36"
22,tupper con compartimentos,https://www.amazon.es/tupper-compartimentos/s?k=tupper+compartimentos,Amazon.es,Tapers cristal y plástico | Tuppers herméticos,EUR,390.0,177%,-18%,Alta,100.0,"0,08","0,40"
23,tupper con compartimentos,https://www.conesedesalud.com/producto/tupper-con-pegatinas-y-compartimentos/,conesedesalud,"Tuppers para comida: de cristal, al vacío y más",EUR,390.0,177%,-18%,Alta,100.0,"0,08","0,40"
24,tupper con compartimentos,https://www.kidsme.es/collections/tuppers-caja-almuerzo?srsltid=AfmBOope75CdymzUfI1vfcTqwbv3c8tyklJPd3gYb57HvMCwPZOcjc6t,Kidsme Store,"IKEA 365+ bote con tapa, rectangular vidrio/plástico, 1.0 l",EUR,390.0,177%,-18%,Alta,100.0,"0,08","0,40"
25,taper para comida,https://www.amazon.es/tupper-comida/s?k=tupper+comida,Amazon.es,Almacenamiento de alimentos en cristal con descuento,EUR,390.0,85%,0%,Alta,100.0,"0,07","0,38"
26,taper para comida,"https://www.fundeu.es/recomendacion/taper-adaptacion-espanola-del-anglicismo-tupper-1475/#:~:text=T%C3%A1per%2C%20plural%20t%C3%A1peres%2C%20es%20la,y%20Ramos%2C%20o%20el%20Clave.",Fundéu,Táper de plástico o de cristal: ¿cuál es mejor? - El Debate,EUR,390.0,85%,0%,Alta,100.0,"0,07","0,38"
27,taper para comida,https://dle.rae.es/t%C3%A1per#:~:text=t%C3%BAper%2C%20t%C3%B3per%2C%20tartera%2C%20fiambrera%2C%20lonchera.,Diccionario de la lengua española - Real Academia Española,El 'tupper' de vidrio: el recipiente más sano para los alimentos - RTVE.es,EUR,390.0,85%,0%,Alta,100.0,"0,07","0,38"
28,taper de comida,https://www.amazon.es/tupper-comida/s?k=tupper+comida,Amazon.es,Tuppers | ¿Qué Materiales son los más Saludables y Sostenibles?,EUR,390.0,50%,0%,Alta,100.0,"0,07","0,35"
29,taper de comida,"https://dle.rae.es/t%C3%A1per#:~:text=Recipiente%20con%20cierre%20herm%C3%A9tico%2C%20que,para%20guardar%20o%20llevar%20alimentos.&text=t%C3%BAper%2C%20t%C3%B3per%2C%20tartera%2C%20fiambrera%2C%20lonchera.",Diccionario de la lengua española - Real Academia Española,¿Cómo saber si un recipiente de vidrio es apto para horno?,EUR,390.0,50%,0%,Alta,100.0,"0,07","0,35"
30,taper de comida,"https://www.lasexta.com/programas/mas-vale-tarde/pablo-ojeda-explica-cuanto-tiempo-dura-tupper-comida-cocinada-buen-estado_2023082364e648ac714dff0001c6ba94.html#:~:text=Adem%C3%A1s%2C%20el%20experto%20ha%20esclarecido,esto%20puede%20generar%20muchas%20dudas.",LaSexta,Los mejores 7 juegos de tapers de cristal que debes elegir,EUR,390.0,50%,0%,Alta,100.0,"0,07","0,35"
31,tupper amazon,https://www.amazon.es/tupper/s?k=tupper,Amazon.es,Taper de cristal Duralex® | Recipiente rectangular,EUR,390.0,84%,23%,Alta,100.0,"0,07","0,17"
32,tupper amazon,https://www.amazon.es/Tupperware-Hogar-cocina/s?k=Tupperware&rh=n%3A599391031,Amazon.es,Tupper redondo de acero inoxidable y tapa cristal,EUR,390.0,84%,23%,Alta,100.0,"0,07","0,17"
33,tupper amazon,https://www.amazon.es/tuppers/s?k=tuppers,Amazon.es,Microondas I Tupperware,EUR,390.0,84%,23%,Alta,100.0,"0,07","0,17"
34,taper de comida,https://www.amazon.es/tupper-comida/s?k=tupper+comida,Amazon.es,Cómo saber qué recipiente o táper es apto para el microondas (y cuál no),EUR,390.0,50%,0%,Alta,100.0,"0,07","0,35"
35,taper de comida,"https://dle.rae.es/t%C3%A1per#:~:text=Recipiente%20con%20cierre%20herm%C3%A9tico%2C%20que,para%20guardar%20o%20llevar%20alimentos.&text=t%C3%BAper%2C%20t%C3%B3per%2C%20tartera%2C%20fiambrera%2C%20lonchera.",Diccionario de la lengua española - Real Academia Española,¿Qué requisitos deben cumplir los envases plásticos aptos para ...,EUR,390.0,50%,0%,Alta,100.0,"0,07","0,35"
36,taper de comida,"https://www.lasexta.com/programas/mas-vale-tarde/pablo-ojeda-explica-cuanto-tiempo-dura-tupper-comida-cocinada-buen-estado_2023082364e648ac714dff0001c6ba94.html#:~:text=Adem%C3%A1s%2C%20el%20experto%20ha%20esclarecido,esto%20puede%20generar%20muchas%20dudas.",LaSexta,Recipientes que no se pueden calentar en el microondas,EUR,390.0,50%,0%,Alta,100.0,"0,07","0,35"
37,tupper para microondas,https://www.amazon.es/tapers-microondas/s?k=tapers+de+microondas,Amazon.es,Qué se puede y qué no se puede poner en el microondas - Whirlpool,EUR,320.0,129%,23%,Alta,100.0,"0,09","0,29"
38,tupper para microondas,"https://www.latercera.com/paula-cocina/noticia/como-saber-que-recipiente-o-taper-es-apto-para-el-microondas-y-cual-no/PPRI5HXQE5GCLCU3IOL5NEMSTU/#:~:text=Es%20el%20polipropileno%20de%20uso,que%20es%20libre%20de%20BPA.",La Tercera,What You Can and Can't Put in a Microwave - Whirlpool,EUR,320.0,129%,23%,Alta,100.0,"0,09","0,29"
39,tupper para microondas,"https://www.spg-pack.com/blog/envases-plastico-microondas/#:~:text=Si%20atendemos%20a%20los%20c%C3%B3digos,sustancias%20como%20el%20Biosfenol%2DA.",SPG-Pack,Tapers De Microondas,EUR,320.0,129%,23%,Alta,100.0,"0,09","0,29"
40,tupper al vacio,https://www.amazon.es/taper-vacio-alimentos/s?k=taper+al+vacio+alimentos,Amazon.es,Cuitisan FLORA,EUR,320.0,85%,0%,Alta,100.0,"0,07","0,33"
41,tupper al vacio,https://www.maquinasfebal.es/tienda-online-profesionales/maquinaria/envasadoras-de-vacio/tuppers-para-vacio/,Máquinas Febal,Análisis y comparativa de los mejores tuppers para ... - Chincha,EUR,320.0,85%,0%,Alta,100.0,"0,07","0,33"
42,tupper al vacio,"https://sevilla.abc.es/contenidopromocionado/2018/09/25/tupper-al-vacio-ventajas-ecovidasolar-ahorro-dinero-tiempo/#:~:text=Los%20envases%20al%20vac%C3%ADo%20funcionan,durar%C3%ADa%20m%C3%A1s%20de%203%20d%C3%ADas.",ABC de Sevilla,Los recipientes y tápers que no deberíamos meter en ...,EUR,320.0,85%,0%,Alta,100.0,"0,07","0,33"
43,tupper plastico,https://www.amazon.es/tupper-plastico/s?k=tupper+plastico,Amazon.es,Portalimentos: Tupper Para Microondas - Idealo,EUR,320.0,50%,0%,Alta,100.0,"0,09","0,31"
44,tupper plastico,"https://es.wikipedia.org/wiki/Tupperware#:~:text=Actualmente%20se%20emplean%20en%20la,que%20llam%C3%B3%20Tupperware%20Plastics%20Company.",Wikipedia,Por qué no meter los 'tuppers' de plástico en el microondas,EUR,320.0,50%,0%,Alta,100.0,"0,09","0,31"
45,tupper plastico,"https://www.eldebate.com/salud-y-bienestar/bienestar/alimentacion/20220927/taper-plastico-cristal-cual-mejor_61862.html#:~:text=El%20t%C3%A1per%20de%20cristal%20es,pl%C3%A1sticos%20y%20genera%20menos%20residuos.",El Debate,¿Se puede meter el tupper en el microondas?,EUR,320.0,50%,0%,Alta,100.0,"0,09","0,31"
46,tupper embutido,https://www.amazon.es/tupper-embutido/s?k=tupper+embutido,Amazon.es,Hermético cuadrado 10 cm Pure box active Luminarc,EUR,320.0,22%,-34%,Alta,100.0,"0,09","0,24"
47,tupper embutido,https://practicdomus.es/collections/porta-embutidos?srsltid=AfmBOoo6yF4TL8QpbwRGdPSqM1I5HIvHL7utJ9gSDyTFUrY6gp8aZXsA,PracticDomus,Tupper Infantil,EUR,320.0,22%,-34%,Alta,100.0,"0,09","0,24"
48,tupper embutido,https://www.miravia.es/kw/tupper-para-embutido.html,Miravia,Fiambreras infantiles,EUR,320.0,22%,-34%,Alta,100.0,"0,09","0,24"
49,taper comida,https://www.amazon.es/tupper-comida/s?k=tupper+comida,Amazon.es,Fiambreras Infantiles Personalizables | Seguras y Divertidas,EUR,320.0,23%,0%,Alta,100.0,"0,07","0,43"
50,taper comida,"https://www.lasexta.com/programas/mas-vale-tarde/pablo-ojeda-explica-cuanto-tiempo-dura-tupper-comida-cocinada-buen-estado_2023082364e648ac714dff0001c6ba94.html#:~:text=Adem%C3%A1s%2C%20el%20experto%20ha%20esclarecido,esto%20puede%20generar%20muchas%20dudas.",LaSexta,Tuppers y fiambreras infantiles,EUR,320.0,23%,0%,Alta,100.0,"0,07","0,43"
51,taper comida,"https://refrigeriosempresariales.com.co/como-se-llama-el-recipiente-donde-se-lleva-la-comida-al-trabajo/#:~:text=Otros%20nombres%20que%20tambi%C3%A9n%20se,y%20segura%20durante%20el%20transporte.",Refrigerios Empresariales Bogotá,Fiambreras Y Tuppers Infantiles,EUR,320.0,23%,0%,Alta,100.0,"0,07","0,43"
